Recommended_Career,Skills,Interests
Security,"Network Topologies, Research on Cyber Security, Operating Systems and Networking, Network Security, Communication","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Security,"Artifact Critique and Editing, Communication, Network Security, Problem Solving, Time Management","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Data Science,"Machine Learning, Communication, Problem Solving, Time Management, Teamwork","Big Data, Analytics, Predictive Modeling, Data Competitions, Data Visualization"
Software Development and Engineering,"Web Development, Critical Thinking, Machine Learning, Artificial Intelligence (AI), Interpersonal Skills","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
Software Development and Engineering,"Web Development, Critical Thinking, Machine Learning, Interpersonal Skills, Data Analysis andvisualization","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
Software Development and Engineering,"Programming Languages, Api testing, Network Topologies, Game Development, Web Development","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
Security,"Google Cybersecurity Certificate Program, Critical Thinking, Cryptograph, Communication, Network Security","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Software Development and Engineering,"System Design, Project Management, Cloud Computing, Interpersonal Skills, Artificial Intelligence (AI) and ML","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
Software Development and Engineering,"Interpersonal Skills, Internet of Things, Problem Solving and Analysis, Communication, Adaptability","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
Software Development and Engineering,"Web Development, Operating Systems and Networking, Web based project develop, Network Security, Cybersecurity","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
Development,"Game Development, Web Development, Artificial Intelligence (AI), Mobile App Development, Blockchain","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Software Development and Engineering,"Web Development, Communication, Network Security, Cybersecurity, Database Developers","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
Development,"Problem Solving & Analysis, Critical Thinking, Web Development, Working with Technology and New Idea Generate, Communication","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Data Science,"Data Engineer, Deep Learning, Statistical Analysis, Big Data Technologies, Data Analysis and Visualization","Big Data, Analytics, Predictive Modeling, Data Competitions, Data Visualization"
Artificial Intelligence,"Problem Solving & Analysis, Coding Bootcamps and Workshops, Data Engineering, Digital Life Test, Rooting Test","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Artificial Intelligence,"Project Management, Critical Thinking, Data Engineering, Machine Learning, Artificial Intelligence (AI)","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Software Development and Engineering,"Game Development, System Design, Project Management, Mobile Application Development, Interpersonal Skills","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
Data Science,"Problem Solving and Analysis, Communication, Feature Enginge, Statistical Analysis, Big Data Technologies","Big Data, Analytics, Predictive Modeling, Data Competitions, Data Visualization"
Artificial Intelligence,"Critical Thinking, Cloud Computing, Data Engineering, Interpersonal Skills, Research on Artificial Intelligence and Machine learning","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Artificial Intelligence,"Problem Solving & Analysis, Project Management, Data Engineering, Machine Learning, Research on Artificial Intelligence and Machine learning","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Artificial Intelligence,"Project Management, Cloud Computing, Machine Learning, Artificial Intelligence (AI), Data Engineering","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Development,"System Design, Image Manipulation, Game Development, Communication, Problem Solving","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Development,"Performance Testing, Web Development, API Testing, Mobile App Development, Impression Count Test","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Data Science,"Data Engineering, Database Development, Problem Solving, Feature Engineering, Statistical Analysis","Big Data, Analytics, Predictive Modeling, Data Competitions, Data Visualization"
Software Development and Engineering,"Interpersonal Skills, Internet of Things, Problem Solving and Analysis, Network Topologies, Game Development","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
Software Development and Engineering,"System Design, Web Development, Cloud Computing, Artificial Intelligence (AI), Project Management","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
Development,"Game Development, Problemsolving, Web Development, Mobile App Development, Communication","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Development,"Web Development, Network Defensive, Problem Solving and Analysis, Network Security, Communication","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Artificial Intelligence,"research on AI and ML, Teaching Assistantships (TAs), Research on Artificial Intelligence and Machine learning, Communication, Problem Solving","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Data Science,"Problem Solving and Analysis, Data Engineering, Big Data Technologies, Communication, Problem Solving","Big Data, Analytics, Predictive Modeling, Data Competitions, Data Visualization"
User Experience (UX) and User Interface (UI) Design,"Illustration & Design, Photography, Graphic Design, Painting, Video Editing & Animation","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Data Science,"Machine Learning, Data Structure, Problem Solving and Analysis, Big Data Technlogs, Data Engineer","Big Data, Analytics, Predictive Modeling, Data Competitions, Data Visualization"
